read_id	mapped	blast_identity	gap_compressed_identity	aligned_columns	mismatches	inserted_bases	deleted_bases
16df0692-95ce-e49b-60b1-146be274f7b7	true	0.9663039663039663	0.9685988213563198	11171	159	88	137
b4856aba-ac77-33c5-01da-b3f159c30cf3	true	0.9435545385202135	0.946442234123948	1271	34	11	29
027ba98c-4858-9c16-94de-2a9d9014b99b	true	0.9704532415375788	0.9750216159093092	10265	116	55	138
ff1698aa-e2e0-6db0-8745-d4c40ec6c7fd	true	0.912153407618554	0.9193000783494385	3679	159	80	100
94ae6dab-b83b-bf2a-eb8c-1de7534c1f2f	true	0.96243321460374	0.9697734410049349	17529	236	209	230
e1457a9e-6c23-6beb-a93d-dc156ea3a788	true	0.9106317411402157	0.9186779023153072	46863	1947	823	1638
d23c6eca-60c9-e548-002c-049c7489f9ef	true	0.9629024144869215	0.971947194719472	7761	104	49	142
ddd0eb88-7775-d197-c758-e04a95be887e	true	0.898103112840467	0.9116267588249815	3858	165	76	178
84159b47-9cfb-8ed9-242b-cd4fd8f2a94b	true	0.9396169733383403	0.9445828614571536	12875	364	166	274
4a5400fa-7692-814c-e55b-8d190bc77be1	true	0.9763657497094149	0.9788308409399884	10183	103	51	90
b3412f3d-5684-6c43-d774-fc66ac8bd2ed	true	0.9424196678887211	0.9603340292275574	8896	156	75	303
6a198f7a-c6a1-cf82-5804-6b6616fcbc40	true	0.9062049062049062	0.9148457157992319	7203	295	150	270
6a408f1e-d55a-dc24-7282-8bfdab19a51d	true	0.8873653281096964	0.8976645435244162	6696	354	161	290
86c044b5-d024-2eda-347e-d9b080b90ff7	true	0.9494818652849741	0.9532851271913854	18754	429	186	360
2d8d01f2-c5aa-706f-7bdc-19eedf1ad864	true	0.9452415812591508	0.9501103752759382	6625	169	74	131
ad280e25-c1c5-8138-f59c-ebe0717eddd4	true	0.9451022604951561	0.9488874761602034	15298	372	173	322
c7f396cf-0f85-b494-c181-af98551adc24	true	0.9694286060900158	0.9745121951219512	8093	102	52	98
8ae1a512-3c37-80d0-3f1c-9f2365bf83b3	true	0.975736568457539	0.9805159464460651	9083	75	63	86
6739e11f-7044-fa3e-e847-7d2e170aee6d	true	0.9404835709857409	0.9546884833228445	4661	110	99	79
6fdebc1c-1274-765f-58e6-c0e8ebd263a3	true	0.9047098569157392	0.9122332431620078	9534	429	181	349
1d47e721-b7ee-c1ef-b75b-28dc7c19c311	true	0.962208067940552	0.9634353741496599	2310	44	19	26
9d4a3c35-d022-724d-f260-392f8bb16f50	true	0.9526724137931034	0.9549775319737297	11295	244	126	179
e47f8492-c134-1141-6898-c308c62b3494	true	0.9492804906817646	0.9537805167101209	4124	100	36	79
881d64d3-6742-4622-78df-e0d3878aff18	true	0.981868704411254	0.9832347826086957	14239	105	56	100
770aa173-5f51-3eeb-262f-4b0eccf78ac1	true	0.9671065032987748	0.9696654696654696	10419	158	74	117
b350e262-da6a-0a3a-30c8-804827d74853	true	0.9196037031021601	0.9273605765293588	11739	415	191	384
5f6f827f-8242-3098-0752-55b601c39eaa	true	0.941007553530183	0.9461461210143108	15461	387	210	348
907018c3-07a0-db02-3e2b-be9bf31a012c	true	0.9494584837545126	0.9563636363636364	268	5	3	6
7a4ebb11-b446-e933-0dee-5d1865867435	true	0.9467544874050983	0.9508180165623107	19290	460	225	374
ed07fe8d-847d-7883-4223-f19a5e8bd944	true	0.9516361886429259	0.9555448175887895	4033	78	45	78
49c7432d-ef8f-6c5d-1cc1-edb185a536ec	true	0.9505916005720972	0.9549373040752351	7487	176	71	133
0e24853f-948c-faf5-17ec-c591598c467b	true	0.9541697971450037	0.9577677224736049	1297	27	11	23
fc54f521-6aee-3c9e-03b6-af627a8b7f1a	true	0.9336322869955157	0.9412296564195298	1070	29	19	26
5cd3993c-c94f-3db2-9303-e62ce64e0cc7	true	0.9447761194029851	0.9518796992481203	1947	48	20	43
dbd13eb2-a990-5254-194b-7e9790b6f8af	true	0.9334886882221575	0.9386838508103886	9905	291	149	245
78206c65-a087-c1e0-aa14-6c007e8c9afb	true	0.9433348815606131	0.9470739100023315	4168	106	66	72
c871becb-bf7a-db7c-2b65-4c03815017d3	true	0.9210412616115792	0.9270493585562078	8856	329	158	244
8317d4d7-503a-fc53-a1a9-3f8349ba0413	true	0.9451553930530164	0.95047042283984	8992	203	113	194
