samplenames	location	geo	geo2	duration	date.month	date.start	date.end	season	particle	temperature	humid	weekend	aownership	latitude	longitude
expo624P1-2_I12	Norway	europe	Europe	7.858912037	7	2015-07-03	2015-07-12	summer	9.129453174	24.17006212	41.26785909	weekday	P1	59.92982294	10.72748498
chaoexpo22_I5	China	asia	Asia	1.829166667	7	2015-07-05	2015-07-08	summer	28.33877499	29.95394662	38.73516831	weekday	P8	24.880095	102.832891
Expo0303B_I12	China	asia	Asia	2.178009259	7	2015-07-09	2015-07-11	summer	66.49808694	32.58977742	42.57604421	weekday	P8	39.3433574	117.3616476
chaoexpo43_I12	China	asia	Asia	1.47037037	7	2015-07-11	2015-07-13	summer	55.70733627	27.05987756	41.06351543	weekday	P8	39.3433574	117.3616476
expo623P2-2_I12	Norway	europe	Europe	6.452199074	7	2015-07-12	2015-07-18	summer	15.19647694	28.53770295	36.27179938	weekday	P1	63.43591177	10.40676598
chaoexpo54_I6	Campus	uswest	Westcoast	3.846412037	7	2015-07-20	2015-07-24	summer	7.051123883	29.28915286	37.8070442	weekday	P1	37.40988969	-122.1593497
chaoexpo26_I12	Campus	uswest	Westcoast	5.639467593	7	2015-07-24	2015-08-02	summer	7.227398666	28.53682078	36.43521806	weekday	P1	37.40988969	-122.1593497
chaoexpo24_I12	Iowa_city-IA	useast	Northeast	1.653819444	7	2015-07-30	2015-08-01	summer	5.0060886	23.66531296	38.21246413	weekday	P1	41.66315887	-91.54413738
expo623P1-2_I5	Canada	uswest	Westcoast	3.160300926	8	2015-08-02	2015-08-05	summer	9.650210584	30.27053796	30.53976927	weekday	P1	51.17311515	-115.5629289
Expo0324B_I5	Campus	uswest	Westcoast	4.79212963	8	2015-08-06	2015-08-11	summer	10.90860786	24.18716133	45.81211719	weekend	P1	37.40988969	-122.1593497
Expo0317B_I5	Campus	uswest	Westcoast	4.689583333	8	2015-08-11	2015-08-16	summer	5.964238116	28.68041969	37.95716719	weekday	P1	37.40988969	-122.1593497
Chao-expo20_I15	China	asia	Asia	3.003240741	8	2015-08-17	2015-08-20	summer	13.66452135	31.5302638	44.00316402	weekday	P1	30.63191974	104.0747304
Expo0303B_I15	Pediatric-background	uswest	Westcoast	2.012268519	8	2015-08-21	2015-08-23	summer	3.960427931	30.09657605	42.08908317	weekday	Others	37.4323403	-122.17595
Expo0308B_I12	Campus	uswest	Westcoast	5.665625	8	2015-08-20	2015-08-26	summer	9.486057486	31.59592458	34.97135094	weekday	P1	37.40988969	-122.1593497
expo021116B_8	Chicago-IL	useast	Northeast	2.233333333	8	2015-08-27	2015-08-29	summer	7.63422471	24.66937985	41.09880804	weekday	P1	40.00308734	-83.03707693
chaoexpo36_I12	Campus	uswest	Westcoast	2.870601852	8	2015-08-29	2015-09-01	summer	10.16772841	28.24533173	39.80623337	weekday	P1	37.40988969	-122.1593497
