+access,+submission_date,+accession,+publication_date,+last_update,Sample name,SRA identifier,Bioproject identifier,altitude,env_feature,collection_date,sample number,sample_type,env_biome,lat_lon,geo_loc_name,isolation source,host,env_material
public,2017-12-20T15:50:16.656,SAMN08216197,2018-09-20T00:00:00.000,2021-02-28T05:15:17.115,xinexpo72_I6,SRS2776769,PRJNA421162,51,air filter,2016-05-16,507,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:16.640,SAMN08216196,2018-09-20T00:00:00.000,2021-02-28T05:15:17.093,xinexpo76_I15,SRS2776765,PRJNA421162,102,air filter,2016-05-14,506,RNA,air filter,38.99791635 N 77.09885595 W,USA:maryland,Bethesda,missing,missing,air
public,2017-12-20T15:50:16.626,SAMN08216195,2018-09-20T00:00:00.000,2021-02-28T05:15:17.071,xinexpo68_I6,SRS2776770,PRJNA421162,29,air filter,2016-05-12,505,RNA,air filter,40.85864131 N 73.4679735 W,USA:new york,Cold Spring Harbor,missing,missing,air
public,2017-12-20T15:50:16.613,SAMN08216194,2018-09-20T00:00:00.000,2021-02-28T05:15:17.049,xinexpo64_I5,SRS2776758,PRJNA421162,51,air filter,2016-05-08,504,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:16.600,SAMN08216193,2018-09-20T00:00:00.000,2021-02-28T05:15:17.028,xinexpo48_I15,SRS2776762,PRJNA421162,51,air filter,2016-05-06,503,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:16.583,SAMN08216192,2018-09-20T00:00:00.000,2021-02-28T05:15:17.007,xinexpo68_I5,SRS2776764,PRJNA421162,51,air filter,2016-04-27,502,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,San Diego,missing,missing,air
public,2017-12-20T15:50:16.570,SAMN08216191,2018-09-20T00:00:00.000,2021-02-28T05:15:16.986,xinexpo48_I12,SRS2776763,PRJNA421162,6,air filter,2016-04-29,501,RNA,air filter,37.4852152 N 122.2363548 W,USA:california,Redwood City,missing,missing,air
public,2017-12-20T15:50:16.556,SAMN08216190,2018-09-20T00:00:00.000,2021-02-28T05:15:16.965,xinexpo76_I12,SRS2776403,PRJNA421162,51,air filter,2016-04-25,500,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:16.540,SAMN08216189,2018-09-20T00:00:00.000,2021-02-28T05:15:16.943,xinexpo63_I15,SRS2776404,PRJNA421162,3,air filter,2016-04-20,499,RNA,air filter,29.94153861 N 90.06440491 W,USA:louisiana,New Orleans,missing,missing,air
public,2017-12-20T15:50:16.526,SAMN08216188,2018-09-20T00:00:00.000,2021-02-28T05:15:16.921,xinexpo63_I6,SRS2776402,PRJNA421162,5,air filter,2016-04-23,498,RNA,air filter,39.3433574 N 117.3616476 E,China:NA,Tianjin,missing,missing,air
public,2017-12-20T15:50:16.510,SAMN08216187,2018-09-20T00:00:00.000,2021-02-28T05:15:16.899,xinexpo72_I5,SRS2776400,PRJNA421162,178,air filter,2016-04-18,497,RNA,air filter,41.885664 N 87.620795 W,USA:illinois,Chicago,missing,missing,air
public,2017-12-20T15:50:16.496,SAMN08216186,2018-09-20T00:00:00.000,2021-02-28T05:15:16.878,xinexpo63_I12,SRS2776398,PRJNA421162,51,air filter,2016-04-18,496,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:16.480,SAMN08216185,2018-09-20T00:00:00.000,2021-02-28T05:15:16.855,xinexpo76_I6,SRS2776401,PRJNA421162,51,air filter,2016-04-13,495,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:16.466,SAMN08216184,2018-09-20T00:00:00.000,2021-02-28T05:15:16.832,xinexpo71_I15,SRS2776396,PRJNA421162,7,air filter,2016-04-11,494,RNA,air filter,41.385732 N 2.1948035 E,Spain:NA,Barcelona,missing,missing,air
public,2017-12-20T15:50:16.453,SAMN08216183,2018-09-20T00:00:00.000,2021-02-28T05:15:16.807,xinexpo63_I5,SRS2776397,PRJNA421162,102,air filter,2016-04-08,493,RNA,air filter,38.99791635 N 77.09885595 W,USA:maryland,Bethesda,missing,missing,air
public,2017-12-20T15:50:16.440,SAMN08216182,2018-09-20T00:00:00.000,2021-02-28T05:15:16.785,xinexpo71_I12,SRS2776395,PRJNA421162,76,air filter,2016-04-06,492,RNA,air filter,40.24783815 N 75.58747128 W,USA:pennsylvania,Pottstown,missing,missing,air
